Name,Position X,Position Y,Position Z,Color RGBA
Global Light,0.0,0.0,0.0,71,108,111,98
DuskWood,8501.333333333334,13866.666666666666,0.0,68,117,115,107
Swamp Of Sorrows,9920.0,13685.333333333334,0.0,83,119,97,109
WestFall-n 2,7746.666666666667,13426.666666666666,0.0,87,101,115,116
Deadwind Pass,9520.0,13746.666666666666,-80.0,68,101,97,100
Blasted Lands,10072.0,14234.666666666666,0.0,66,108,97,115
Burning Steppes,9066.666666666666,12218.666666666666,0.0,66,117,114,110
WestFall 2-razan,7800.0,13920.0,0.0,87,101,115,116
StrangleThorn,8533.333333333334,15200.0,0.0,83,116,114,97
Badlands--enter,9866.666666666666,12000.0,128.0,66,97,100,108
WetLands,9493.333333333334,10442.666666666666,0.0,87,101,116,76
Arathi Highlands,10016.0,9301.333333333334,0.0,65,114,97,116
Alterac Mountains,9010.347222222223,8586.333333333334,-5.402777777777778,65,108,116,101
Swamp Of Sorrows 2,10272.0,13685.333333333334,0.0,83,119,97,109
Swamp Of Sorrows 3,10533.333333333334,13693.333333333334,0.0,83,119,97,109
Duskwood East-al-3,8973.333333333334,13853.333333333334,-53.333333333333336,68,117,115,107
Dun Morogh,9225.805555555555,11058.180555555555,0.0,68,117,110,32
Deadwind Pass Tower,9530.597222222223,14030.916666666666,0.0,68,101,97,100
Duskwood East2,9226.666666666666,13640.0,0.0,68,117,115,107
Blasted Lands Demon,9765.333333333334,14546.666666666666,0.0,66,108,97,115
Burning Steppes2,9818.666666666666,12522.666666666666,0.0,66,117,114,110
Badlands2,10400.0,11898.666666666666,0.0,66,97,100,108
Dun Morogh2,8458.666666666666,11146.666666666666,128.0,68,117,110,32
Dun Morogh3,8298.666666666666,11690.666666666666,96.0,68,117,110,32
Dun Morogh4,8650.666666666666,11434.666666666666,74.66666666666667,68,117,110,32
Loch Modan,9930.666666666666,11424.0,74.66666666666667,76,111,99,104
Loch Modan 2,10240.0,11210.666666666666,0.0,76,111,99,104
Tirisfall Glades,8512.0,7178.666666666667,0.0,84,105,114,105
SilverPine,7844.305555555556,8394.666666666666,0.0,83,105,108,118
Tirisfall Glades 3,7797.333333333333,7466.666666666667,0.0,84,105,114,105
PlagueLands03,10014.152777777777,7606.486111111111,0.0,80,108,97,103
PlagueLandsWest01,9332.333333333334,7691.722222222223,0.0,80,108,97,103
PlagueLandsWest04,9353.638888888889,7095.125,0.0,80,108,97,103
PlagueLandsEast02,9781.333333333334,7328.0,0.0,80,108,97,103
PlagueLandsWestUther,9444.680555555555,8053.333333333333,10.652777777777779,80,108,97,103
PlagueLandsWest05,9829.888888888889,7992.513888888889,0.0,80,108,97,103
AeriePeak,9840.0,8480.0,0.0,65,101,114,105
AeriePeakEast,10469.333333333334,8400.0,0.0,65,101,114,105
Burning Steppes5,9434.375,11733.333333333334,0.0,66,117,114,110
AeriePeakWorldTree,10536.805555555555,8119.916666666667,0.0,65,101,114,105
StrangleBootyBay,8289.527777777777,15709.819444444445,0.0,83,116,114,97
DuskWoodNagleHouse,8348.125,13695.736111111111,23.09722222222222,68,117,115,107
DuskWood World Tree,8755.944444444445,13759.333333333334,0.0,68,117,115,107
PlagueLandsEast01,10685.222222222223,7234.486111111111,0.0,80,108,97,103
PlagueEastCorrupt01,10409.611111111111,7293.083333333333,71.5,80,108,97,103
Alterac Snow,8777.138888888889,8247.125,0.0,65,108,116,101
PlagueLandsEast04,10303.597222222223,7780.708333333333,0.0,80,108,97,103
ArathiHighlandsCoast,9158.763888888889,9566.708333333334,0.0,65,114,97,116
PlagueEastCorrupt02,10248.527777777777,6961.486111111111,74.56944444444444,80,108,97,103
PlagueEastCorrupt03,11271.25,7180.361111111111,53.263888888888886,80,108,97,103
PlagueEastCorrupt04,10247.027777777777,6607.583333333333,74.56944444444444,80,108,97,103
PlagueEastCorrupt05,10154.791666666666,6603.888888888889,57.263888888888886,80,108,97,103
Burning Steppes Fix,9374.944444444445,12671.180555555555,28.15277777777778,66,117,114,110
StormwindIndustrial,8259.194444444445,12773.513888888889,40.458333333333336,83,116,111,114
StormwindIndustrial2,8222.888888888889,12736.097222222223,35.458333333333336,83,116,111,114
Tirisfall Glades 4,8970.125,7350.805555555556,31.958333333333332,84,105,114,105
@F-@F,250.0,250.0,222.22222222222223,0,64,28,70
>>,0.006944444444444444,0.006944444444444444,0.0,154,153,153,62
?--?--?,0.027777777777777776,0.027777777777777776,0.027777777777777776,0,0,128,63
?---?---?,0.013888888888888888,0.013888888888888888,0.013888888888888888,0,0,0,63
?--?--?,0.027777777777777776,0.027777777777777776,0.027777777777777776,0,0,128,63
---------------------,0.0,0.0,0.0,1,0,0,0

Invalid Lights:
---------------------,8.407790785948902e-45,8.407790785948902e-45,8.407790785948902e-45,6,0,0,0
----p---m-	---m-	--K2,1.3283764336696643e-38,5.0446744715693415e-43,1.3283764336696643e-38,160,5,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
--h-p--w\f-	--w\f-	--K2,2.6848710420647776e-39,5.0446744715693415e-43,2.6848710420647776e-39,160,5,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
--I--p-->5/-	-->5/-	,0.0,5.0446744715693415e-43,0.0,160,5,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
--:-p--\k-	--\k-	--,4.349630433264232e-42,5.0446744715693415e-43,4.349630433264232e-42,160,5,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
,0.0,0.0,0.0,0,0,0,0
---p--ew-	--ew-	--F#,1.4458597554903463e-41,5.0446744715693415e-43,1.4458597554903463e-41,160,5,0,0
